generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_accuracy_to_baseline,min_accuracy_to_baseline,mean_accuracy_to_baseline,elites_mean_accuracy_to_baseline,cid_min_accuracy_to_baseline,cid_max_accuracy_to_baseline,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
67,uci_wine_test/67/20251012-214021,nan,nan,0.9382022471910112,0.2696629213483146,0.8401685393258428,0.9337078651685392,67_20,67_47,0.9382022619247437,0.28651684522628784,0.8415168645977974,0.933707880973816,67_20,67_85
68,uci_wine_test/68/20251012-214022,nan,nan,0.9382022471910112,0.2696629213483146,0.8837078651685394,0.9342696629213483,68_36,67_85,0.9382022619247437,0.28651684522628784,0.8837640565633774,0.9342696785926818,68_36,67_85
69,uci_wine_test/69/20251012-214024,nan,nan,0.9382022471910112,0.2696629213483146,0.8326404494382024,0.9353932584269662,69_20,67_85,0.9382022619247437,0.28651684522628784,0.8336516937613487,0.9353932738304138,69_20,67_85
70,uci_wine_test/70/20251012-214026,nan,nan,0.9438202247191011,0.2696629213483146,0.8484831460674158,0.9370786516853933,70_46,70_22,0.9382022619247437,0.28651684522628784,0.8501685482263565,0.9382022619247437,70_46,67_85
71,uci_wine_test/71/20251012-214028,nan,nan,0.9382022471910112,0.2696629213483146,0.8673033707865168,0.9337078651685393,71_19,67_85,0.9382022619247437,0.28651684522628784,0.8679213562607765,0.9382022619247437,71_19,67_85
72,uci_wine_test/72/20251012-214029,nan,nan,0.9382022471910112,0.2696629213483146,0.8474157303370786,0.9314606741573034,72_48,67_85,0.9382022619247437,0.28651684522628784,0.8489887696504593,0.9382022619247437,72_48,67_85
73,uci_wine_test/73/20251012-214031,nan,nan,0.9382022471910112,0.2696629213483146,0.8678089887640451,0.9348314606741572,73_25,67_85,0.9382022619247437,0.28651684522628784,0.8715168631076813,0.9382022619247437,73_25,67_85
74,uci_wine_test/74/20251012-214033,nan,nan,0.9382022471910112,0.2696629213483146,0.8477528089887642,0.9359550561797754,74_44,67_85,0.9382022619247437,0.28651684522628784,0.8514045020937919,0.9382022619247437,74_44,67_85
75,uci_wine_test/75/20251012-214035,nan,nan,0.9382022471910112,0.2696629213483146,0.8511797752808988,0.9370786516853933,75_25,67_85,0.9382022619247437,0.28651684522628784,0.8569663009047508,0.9382022619247437,75_25,67_85
76,uci_wine_test/76/20251012-214036,nan,nan,0.9382022471910112,0.2696629213483146,0.8512921348314606,0.9325842696629214,76_23,67_85,0.9382022619247437,0.28651684522628784,0.855224726498127,0.9382022619247437,76_23,67_85
77,uci_wine_test/77/20251012-214038,nan,nan,0.9382022471910112,0.2696629213483146,0.8389887640449438,0.9348314606741572,77_14,67_85,0.9382022619247437,0.28651684522628784,0.8447752875089646,0.9382022619247437,77_14,67_85
